               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.057259,            0.018883,            0.010004,             0.62385,             0.42558,              0.3867,             0.12686,            0.043619,            0.016558,           0.0081818,            0.008185,            0.008185,            0.008185
                  57,            0.061447,             0.01912,           0.0080191,             0.24437,               0.375,             0.21076,             0.10828,            0.045714,            0.017646,           0.0076019,            0.008152,            0.008152,            0.008152
                  58,            0.054813,             0.01738,           0.0074571,             0.36603,               0.425,             0.30615,            0.082382,            0.042722,            0.016789,            0.007077,            0.008119,            0.008119,            0.008119
                  59,            0.052733,            0.016301,            0.008479,             0.41848,               0.375,             0.28525,             0.11546,             0.04373,            0.015233,           0.0070801,            0.008086,            0.008086,            0.008086
                  60,            0.056371,            0.017166,            0.011242,             0.61374,             0.38612,              0.4923,             0.19404,            0.037873,            0.013624,           0.0053894,            0.008053,            0.008053,            0.008053
                  61,            0.054188,             0.01817,           0.0074946,             0.39845,               0.725,             0.50526,             0.17643,              0.0426,            0.014324,            0.005687,             0.00802,             0.00802,             0.00802
                  62,            0.054967,            0.020514,           0.0079984,             0.28763,              0.7234,             0.44515,             0.18121,            0.043449,            0.014974,           0.0055725,            0.007987,            0.007987,            0.007987
                  63,            0.054951,            0.016554,           0.0057894,             0.40576,                 0.6,             0.47823,             0.17671,            0.046303,            0.014034,           0.0056702,            0.007954,            0.007954,            0.007954
                  64,            0.057823,             0.01939,            0.011093,              0.6529,             0.69979,             0.69336,             0.28692,            0.036912,            0.012988,           0.0060196,            0.007921,            0.007921,            0.007921
                  65,            0.049719,             0.01624,           0.0087338,             0.49043,                 0.6,             0.53945,              0.2472,            0.038503,            0.013339,           0.0064896,            0.007888,            0.007888,            0.007888
                  66,            0.057918,            0.018022,            0.007753,             0.58227,             0.77767,             0.61572,             0.25603,            0.038521,            0.011558,           0.0054184,            0.007855,            0.007855,            0.007855
                  67,            0.055321,            0.017315,           0.0083838,             0.47768,              0.5625,             0.46596,             0.21591,             0.04263,            0.012096,           0.0057938,            0.007822,            0.007822,            0.007822
                  68,            0.054263,            0.016414,           0.0078571,             0.52688,             0.74819,             0.59395,             0.26018,            0.035104,            0.013913,           0.0061035,            0.007789,            0.007789,            0.007789
                  69,            0.054612,            0.018001,           0.0063781,             0.52326,              0.6125,             0.58078,             0.22125,            0.042513,            0.014672,           0.0057312,            0.007756,            0.007756,            0.007756
                  70,            0.051324,            0.018141,            0.010028,             0.63622,             0.73007,             0.69091,             0.29011,            0.033786,            0.012892,           0.0048782,            0.007723,            0.007723,            0.007723
                  71,            0.047842,            0.016835,           0.0084194,              0.5603,             0.67022,             0.54235,              0.2291,            0.038174,            0.012088,           0.0053314,             0.00769,             0.00769,             0.00769
                  72,            0.048313,            0.017059,             0.00728,             0.63277,                0.55,             0.63452,             0.30318,            0.035519,            0.012043,           0.0073395,            0.007657,            0.007657,            0.007657
                  73,            0.050227,            0.016366,           0.0083362,             0.47558,              0.6625,             0.59045,             0.25526,            0.039114,             0.01279,           0.0092316,            0.007624,            0.007624,            0.007624
                  74,            0.053743,            0.016374,           0.0081864,             0.81596,             0.71372,             0.76915,             0.37365,            0.031127,            0.012852,           0.0070816,            0.007591,            0.007591,            0.007591
                  75,             0.04906,            0.017582,           0.0056893,             0.51227,             0.65303,             0.56429,             0.26388,            0.036666,            0.011614,           0.0074982,            0.007558,            0.007558,            0.007558
                  76,            0.052339,            0.018867,           0.0091048,             0.49917,             0.77448,             0.61394,             0.25601,            0.038466,            0.011627,           0.0069412,            0.007525,            0.007525,            0.007525
                  77,            0.053056,            0.016757,           0.0087143,             0.55163,             0.70177,             0.64252,              0.2925,            0.036184,            0.010879,           0.0070709,            0.007492,            0.007492,            0.007492
                  78,            0.048943,            0.018921,           0.0065213,             0.83151,             0.59983,             0.70522,             0.34147,            0.032171,            0.011497,           0.0083618,            0.007459,            0.007459,            0.007459
                  79,            0.049568,            0.018188,           0.0081137,             0.63146,               0.675,             0.72127,             0.36244,            0.032798,            0.011536,           0.0097076,            0.007426,            0.007426,            0.007426
                  80,            0.044788,            0.018987,           0.0063737,             0.77418,                0.55,              0.6807,             0.34097,            0.032707,            0.012803,            0.011124,            0.007393,            0.007393,            0.007393
                  81,            0.045032,            0.015127,           0.0079939,             0.64806,             0.77969,              0.7395,             0.35075,            0.032589,            0.013401,            0.011462,             0.00736,             0.00736,             0.00736
                  82,            0.045115,            0.017064,           0.0076183,             0.61415,                0.55,             0.59523,              0.2782,            0.033853,            0.013355,            0.010983,            0.007327,            0.007327,            0.007327
                  83,            0.049642,            0.016362,           0.0078317,             0.53436,               0.725,             0.66158,             0.26385,            0.032486,            0.012179,            0.011484,            0.007294,            0.007294,            0.007294
                  84,            0.051209,            0.018655,           0.0063631,             0.56456,             0.78443,              0.6352,             0.27808,            0.033484,            0.011245,            0.011584,            0.007261,            0.007261,            0.007261
                  85,            0.044107,            0.015858,           0.0057396,             0.65196,             0.75745,             0.72424,             0.35237,            0.033022,            0.010971,            0.012927,            0.007228,            0.007228,            0.007228
                  86,            0.048869,            0.015786,           0.0086739,              0.4601,              0.7875,             0.55135,             0.26598,            0.033797,            0.011152,             0.01134,            0.007195,            0.007195,            0.007195
                  87,            0.044821,            0.016145,           0.0070101,             0.63261,             0.76908,             0.79545,              0.3965,             0.03258,            0.010037,           0.0099731,            0.007162,            0.007162,            0.007162
                  88,            0.049364,            0.019424,           0.0079615,              0.5212,             0.78727,             0.71942,             0.34692,            0.031133,            0.010006,            0.009848,            0.007129,            0.007129,            0.007129
                  89,             0.04164,            0.021322,           0.0067124,             0.75229,                0.55,             0.72828,             0.39374,            0.031087,            0.010301,            0.009903,            0.007096,            0.007096,            0.007096
                  90,            0.046054,            0.017064,           0.0060604,             0.57617,              0.7513,             0.75395,             0.32687,            0.032914,            0.010692,            0.010144,            0.007063,            0.007063,            0.007063
                  91,            0.044231,            0.017042,           0.0082258,               0.577,             0.81472,             0.72406,             0.35218,            0.031134,            0.010663,           0.0097778,             0.00703,             0.00703,             0.00703
                  92,            0.041942,            0.015115,           0.0063551,             0.52355,              0.7875,             0.69192,             0.28646,            0.034055,             0.01118,           0.0085571,            0.006997,            0.006997,            0.006997
                  93,            0.045791,            0.014627,           0.0069017,             0.69636,              0.7375,             0.74706,             0.40641,            0.028525,            0.010525,           0.0068497,            0.006964,            0.006964,            0.006964
